GCF_0083.fna | GCF_0010.fna	10	512	32	16	12	3	12	7407494	13434814	866721	1319574	19.4446	0.985776	-0.880697	-18.5639	19.1561	0.982727	19.1283	0.983746	0.549936	0.302429	22.5644
GCF_0083.fna | GCF_0010.fna	10	1024	32	32	12	3	12	7407494	13434814	866721	2609308	19.1658	0.971641	-1.74276	-17.4231	18.8403	0.966526	18.807	0.967221	0.584953	0.34217	40.8951
GCF_0083.fna | GCF_0010.fna	10	2048	64	32	12	3	12	7407494	13434814	866721	5188563	18.5883	0.942361	-3.4659	-15.1224	18.1903	0.933182	18.145	0.933176	0.648534	0.420596	41.4579
GCF_0083.fna | GCF_0010.fna	15	64	16	4	12	3	12	7407489	13434809	17003179	167481	23.9495	0.997094	-0.11166	-23.8378	22.5191	0.997098	23.353	0.996894	1.00668	1.0134	7.95391
GCF_0083.fna | GCF_0010.fna	15	128	16	8	12	3	12	7407489	13434809	17003179	334074	23.88	0.994202	-0.222812	-23.6572	22.4536	0.994195	23.2809	0.993814	1.00639	1.01282	10.1188
GCF_0083.fna | GCF_0010.fna	15	256	16	16	12	3	12	7407489	13434809	17003179	667258	23.7409	0.988408	-0.445115	-23.2958	22.3222	0.988376	23.1362	0.98764	1.00581	1.01166	21.9517
GCF_0033.fna | GCF_0012.fna	10	512	32	16	12	3	12	7115412	7225550	889470	897813	19.4872	0.986064	-0.875161	-18.612	19.1491	0.983722	19.2858	0.983206	0.51937	0.269745	16.1076
GCF_0033.fna | GCF_0012.fna	10	1024	32	32	12	3	12	7115412	7225550	889470	1791072	19.2074	0.971907	-1.74602	-17.4614	18.8303	0.967346	18.9508	0.966127	0.562903	0.31686	28.4779
GCF_0033.fna | GCF_0012.fna	10	2048	64	32	12	3	12	7115412	7225550	889470	3576928	18.6258	0.942478	-3.48422	-15.1416	18.1741	0.933638	18.2613	0.930978	0.638808	0.408076	27.9089
GCF_0033.fna | GCF_0012.fna	15	64	16	4	12	3	12	7115407	7225545	12266604	114816	23.483	0.99723	-0.111803	-23.3712	22.4812	0.997108	22.5891	0.997082	0.973575	0.947848	5.38366
GCF_0033.fna | GCF_0012.fna	15	128	16	8	12	3	12	7115407	7225545	12266604	229632	23.4177	0.994456	-0.223606	-23.1941	22.4159	0.994211	22.5229	0.99416	0.973794	0.948276	6.9979
GCF_0033.fna | GCF_0012.fna	15	256	16	16	12	3	12	7115407	7225545	12266604	459254	23.2868	0.988896	-0.447204	-22.8395	22.285	0.988405	22.3902	0.988305	0.974233	0.94913	14.948
GCF_0010.fna | GCF_0019.fna	10	512	32	16	12	3	12	13434814	16040657	843854	1834840	19.4183	0.98637	-0.871028	-18.5473	19.1283	0.983746	19.2192	0.983642	0.494519	0.244549	31.5866
GCF_0010.fna | GCF_0019.fna	10	1024	32	32	12	3	12	13434814	16040657	843854	3667332	19.1444	0.972455	-1.74083	-17.4035	18.807	0.967221	18.8943	0.967012	0.54197	0.293732	57.961
GCF_0010.fna | GCF_0019.fna	10	2048	64	32	12	3	12	13434814	16040657	843854	7332196	18.5744	0.943505	-3.4776	-15.0968	18.145	0.933176	18.2253	0.932774	0.623924	0.389281	57.9149
GCF_0010.fna | GCF_0019.fna	15	64	16	4	12	3	12	13434809	16040652	22681261	236477	24.3624	0.997031	-0.111962	-24.2505	23.353	0.996894	23.5882	0.99687	0.944352	0.891802	11.1087
