GCF_0010,fna | GCF_0083,fna	10	18,0233	17,8031	18,1736	0,260367	0,510262	12,4221	720403	740118	868501
GCF_0012,fna | GCF_0033,fna	10	18,4246	17,9213	18,3491	0,176135	0,419684	8,80887	804268	728472	900817
GCF_0019,fna | GCF_0010,fna	10	18,0187	18,0233	18,1589	0,137879	0,37132	14,6521	773226	720403	851236
GCF_0019,fna | GCF_0029,fna	10	18,0187	17,7976	17,9797	0,0715371	0,267464	14,6114	773226	764934	870188
GCF_0019,fna | GCF_0040,fna	10	18,0187	18,6349	18,4469	0,120114	0,346575	15,0363	773226	927423	963387
GCF_0019,fna | GCF_0062,fna	10	18,0187	18,3575	18,2787	0,0906144	0,301022	11,323	773226	778478	892413
GCF_0029,fna | GCF_0010,fna	10	17,7976	18,0233	18,0269	0,116424	0,34121	13,7227	764934	720403	856796
GCF_0029,fna | GCF_0040,fna	10	17,7976	18,6349	18,3768	0,160543	0,400679	13,528	764934	927423	968242
GCF_0029,fna | GCF_0056,fna	10	17,7976	18,4181	18,1639	0,0560631	0,236776	11,4244	764934	802164	906610
GCF_0035,fna | GCF_0038,fna	10	18,4938	18,069	18,4332	0,151746	0,389546	9,03636	829410	785941	929332
GCF_0040,fna | GCF_0010,fna	10	18,6349	18,0233	18,5411	0,21196	0,460391	13,5053	927423	720403	961012
GCF_0040,fna | GCF_0038,fna	10	18,6349	18,069	18,5366	0,184712	0,429781	11,5334	927423	785941	973311
GCF_0041,fna | GCF_0010,fna	10	17,7257	18,0233	17,9937	0,119225	0,345289	13,6509	758359	720403	853661
GCF_0041,fna | GCF_0019,fna	10	17,7257	18,0187	17,9431	0,0709068	0,266283	14,684	758359	773226	866880
GCF_0041,fna | GCF_0029,fna	10	17,7257	17,7976	17,7869	0,0252193	0,158806	13,654	758359	764934	863769
GCF_0041,fna | GCF_0040,fna	10	17,7257	18,6349	18,3374	0,157084	0,396339	13,9051	758359	927423	966621
GCF_0045,fna | GCF_0046,fna	10	17,9909	18,3466	18,3298	0,161007	0,401257	8,17841	755028	772964	894960
GCF_0056,fna | GCF_0062,fna	10	18,4181	18,3575	18,423	0,0351752	0,187551	8,21866	802164	778478	878623
GCF_0072,fna | GCF_0073,fna	10	18,4304	18,3733	18,4373	0,0354473	0,188275	8,20028	805340	783333	882599
GCF_0082,fna | GCF_0083,fna	10	17,9908	17,8031	17,9618	0,064863	0,254682	7,85793	755127	740118	871423
GCF_0014,fna | GCF_0015,fna	10	17,6794	19,2217	19,2741	0,823605	0,907527	10,3181	606631	953971	1036209
GCF_0035,fna | GCF_0015,fna	10	18,4938	19,2217	19,4665	0,608752	0,780225	10,5425	829410	953971	1040680
GCF_0010,fna | GCF_0083,fna	15	23,3265	22,4401	23,8503	0,966985	0,983354	40,5494	11426941	6302708	16967746
GCF_0012,fna | GCF_0033,fna	15	22,6206	22,4637	23,4546	0,912477	0,955236	31,8582	6688485	6223562	12404731
GCF_0019,fna | GCF_0062,fna	15	23,5056	22,5589	24,0175	0,985236	0,992591	63,2205	13256022	6408506	18896702
GCF_0029,fna | GCF_0056,fna	15	23,2712	22,6151	23,8731	0,929949	0,964339	51,4104	11611764	6672547	17479727
GCF_0035,fna | GCF_0038,fna	15	22,6771	22,6753	23,5873	0,911146	0,95454	42,258	6934517	7211233	13596889
GCF_0040,fna | GCF_0038,fna	15	23,4062	22,6753	23,9758	0,935077	0,966994	51,8139	11830020	7211233	18136537
GCF_0045,fna | GCF_0046,fna	15	22,5764	22,5575	23,4765	0,909533	0,953695	36,5445	6710849	6390374	12581499
GCF_0056,fna | GCF_0062,fna	15	22,6151	22,5589	23,0363	0,449308	0,670304	36,3066	6672547	6408506	9568940
GCF_0072,fna | GCF_0073,fna	15	22,6598	22,5681	23,0802	0,466225	0,682807	36,9421	6886421	6466420	9883862
GCF_0082,fna | GCF_0083,fna	15	22,5365	22,4401	23,2707	0,782429	0,88455	37,6534	6535074	6302708	11723475
GCF_0014,fna | GCF_0015,fna	15	22,7311	23,3188	24,049	1,02398	1,01192	59,8934	7542159	10893541	18414275
GCF_0035,fna | GCF_0015,fna	15	22,6771	23,3188	24,0289	1,03093	1,01535	74,843	6934517	10893541	17787504
